category,title,also_buy,brand,rank,also_view,main_cat,Price,asin,details,descriptionstring
[],"By Edward Rabin Rabin, Kwall, Kwall, and Arnold's Fundamentals of Modern Property Law, 6th (University Casebook Seri (6th Edition)","['B00BQ1YCLA', '0314180702', '145486334X', '1454807199', '0314280499']",,"3,846,452 in Books (",[],Books,312.78,B00N4FCNLM,"{'Publisher:': 'Foundation Press (March 25, 2011)', 'ASIN:': 'B00N4FCNLM'}","Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee."
[],"Deutsch Aktuell 3, Annotated Teacher's Edition - 6th Edition","['0821954741', '0821954946', 'B006EI10VU', '0821954962', 'B00DFBOHZU', '0821954776', '0821952072', '082192561X', '0821952064', '0821925636', '0821914766']",Specht / Jarvis / Mueller / Kraft,"1,177,275 in Books (",[],Books,9.55,B00B615TMG,"{'Hardcover:': '436 pages', 'Publisher:': 'EMC Publishing; 6th edition (2010)', 'ISBN-10:': '9780821954935', 'ISBN-13:': '978-0821954935', 'ASIN:': 'B00B615TMG', '\n    Package Dimensions: \n    ': '11 x 8.7 x 0.9 inches', 'Shipping Weight:': '3 pounds ('}","Deutsch Aktuell3, Annotated Teacher's Edition - 6th Ed."
"['Books', 'Sports & Outdoors', 'Mountaineering']",H36025 Haynes Ford Explorer and Mercury Mountaineer 2002-2010 Auto Repair Manual,[],Manufacturer,"4,723,439 in Books (","['1563928361', 'B0007N1L80']",Books,28.13,B018X5WVWS,"{'ASIN:': 'B018X5WVWS', '\n    Package Dimensions: \n    ': '9 x 7 x 0.5 inches', 'Shipping Weight:': '2 pounds ('}","This Haynes Ford Explorer and Mercury Mountaineer 2002-2010 Auto Repair Manual provides detailed service information, step-by-step repair instruction and maintenance specifications for 2002 2003 2004 2005 2006 2007 2008 2009&nbsp;2010 Ford Explorer and Mercury Mountaineer automobiles."
[],"The Burying Place Hardcover &ndash; April 13, 2010",[],,"10,048,032 in Books (",[],Books,49.7,B010EUOPHO,"{'Publisher:': 'minotaur books; english language edition (april 13, 2010) (1605)', 'ASIN:': 'B010EUOPHO'}","Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee."
[],Basic Physics of Atoms and Molecules,[],"U Fano, L Fano","4,457,866 in Books (",['0226237826'],Books,34.09,B000P3DK0Y,"{'Hardcover:': '414 pages', 'Publisher:': 'John Wiley and Sons; First Edition edition (1959)', 'Language:': 'English', 'ASIN:': 'B000P3DK0Y', '\n    Package Dimensions: \n    ': '9.1 x 6.6 x 1.1 inches', 'Shipping Weight:': '1.6 pounds'}","Basic Physics of Atoms and Molecules [hardcover] Fano, U Fano, L [Jan 01, 1959]  B000P3DK0Y,,"
[],Tehillim Eis Ratzon - White,"['1598261789', '1583304347', '0899062202']",Rabbi Yaakov Yosef Iskowitz,"7,169,778 in Books (","['1598261789', '158330634X', '1583304401', '9653012045', '0826600794']",Books,22.99,B00F53X8YW,"{'Publisher:': 'Feldheim Publishers (2013)', 'ASIN:': 'B00F53X8YW', '\n    Package Dimensions: \n    ': '6.9 x 4.9 x 0.7 inches', 'Shipping Weight:': '13 ounces ('}","This popular Tehillim with English translation features an attractive embossed cover with space for personalization, and a border design on each page. This is a truly special memento for your next simcha, or a much-appreciated gift for every occasion."
[],"Brave and the Bold, The, Edition# 119",[],DC,"9,670,434 in Books (",[],Books,5.97,B002XOXBIY,"{'Publisher:': 'DC; 119 edition (June 1, 1975)', 'Language:': 'English', 'ASIN:': 'B002XOXBIY', '\n    Package Dimensions: \n    ': '10 x 7 x 0.5 inches', 'Shipping Weight:': '3.2 ounces'}",DC Comics
[],A Southern Belle Primer: Why Princess Margaret Will Never Be a Kappa Kappa Gamma by Maryln Schwartz (1991-08-01),['0385416679'],Visit Amazon's Maryln Schwartz Page,"2,294,195 in Books (","['0385416679', '0767925270']",Books,64.49,B01FIYKYH6,"{'Publisher:': 'Main Street Books (1756)', 'ASIN:': 'B01FIYKYH6'}","Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee."
[],Recovering Biblical Manhood and Womanhood: A Response to Evangelical Feminism [2006],[],,"3,234,978 in Books (",['1433537125'],Books,46.19,B00DT6577S,"{'Publisher:': 'Crossway (August 23, 2006)', 'ASIN:': 'B00DT6577S', '\n    Package Dimensions: \n    ': '8.4 x 5.8 x 0.7 inches', 'Shipping Weight:': '12.6 ounces ('}",Great Condition. Tight Binding.
[],Fly Fishing for Trout (Lefty's Little Library of Fly Fishing) (5 Volume Set),[],,"6,457,880 in Books (",[],Books,98.95,B0014HDAHI,"{'Publisher:': 'Odysseus', 'ASIN:': 'B0014HDAHI', '\n    Package Dimensions: \n    ': '9 x 6 x 1 inches', 'Shipping Weight:': '1.4 pounds'}","Lefty began fly-fishing in 1947 while serving as a guide for the famous fly fisherman Joe Brooks. In 1964 he moved to Miami, Florida and began to fish for salt water species in the Florida Keys. It was during this time that Lefty Kreh, Joe Brooks, Al Pflueger, Tom McNally, George Hommel, Stu Apte and others pioneered the techniques, deviating from the classic ""Ten to Two"" casting technique, that modern salt water anglers use to pursue fish with fly fishing gear. The Lefty's Deceiver is an artificial fly commonly categorized as a streamer fly which is fished under the water surface. It is a popular and widely used pattern for both predacious freshwater and saltwater game fish. It is generally considered one of the top patterns to have in any fly box. Lefty Kreh invented the Deceiver fly in the late 1950s as a streamer that would be easy to cast in wind and would not ""foul"" (or wrap around the bend of the hook) a common problem for older streamer patterns. The original Lefty's Deceiver was tied in an all white pattern, but fly tiers have recreated the pattern in a variety of colors. A darker colored top with a lighter bottom (mimicking the various forage fishes that larger fishes feed upon) is the most popular design. The Deceiver is arguably the best known saltwater fly pattern in the world. In 2010, the first Lefty Kreh Flyfishing Challenge Course was created as the centerpiece of instruction at HomeWaters University, which is located in Spruce Creek, Pennsylvania. Lefty designed the course himself, incorporating dry land, still water and moving water into various casting stations. Lefty calls it a challenge course, as opposed to a casting course, because he included real-world fly-fishing conditions. Scenarios include the need for long casts, short and precise presentations, casting into the wind, casting with no room for a back cast, and dealing with boulders, rapidly moving water, logs and other floating debris."
"['Books', 'Health, Fitness &amp; Dieting', 'Psychology &amp; Counseling']",Manual de psicoterapia cognitivo conductual: Fundamentos tericos y aplicaciones clnicas (Spanish Edition),"['1499284985', '0984800069', '1520500084', '8497722264', '1462527906', '8433006266', '8494025058', '1463643217', '8491103724', '0890425515', '1519595654', '0935111751', '1433644584', '0965854086', '9688604445', '8494025082', '8498359236']",Nicols Alejandro Hernndez Lira,"1,588,144 in Books (","['0984800069', '8497722264', '0890425515']",Books,18.21,8490760373,"{'Paperback:': '424 pages', 'Publisher:': 'Editorial Crculo Rojo (August 20, 2014)', 'Language:': 'Spanish', 'ISBN-10:': '8490760373', 'ISBN-13:': '978-8490760376', '\n    Product Dimensions: \n    ': '6 x 1.1 x 9 inches', 'Shipping Weight:': '1.6 pounds ('}",","
[],Transformers Death Of Optimus Prime One Shot Photo Cover,[],Visit Amazon's John Barber Page,"4,961,842 in Books (",[],Books,19.99,B006OQP982,"{'Publisher:': 'IDW Publishing (2011)', 'ASIN:': 'B006OQP982'}","Celebrating 125 issues of IDW's Transformers! After Chaos, Optimus Prime's fate was shrouded in mystery. Was he truly gone or could there be a way he had emerged unscathed? Now, Optimus sits in contemplation, in a place he does not recognize as home. And with the cost of the battle finally taking its brutal toll, does Optimus Prime even have the will to carry on? CHAOS changed everything, and Transformers #125 sets a new direction for the Autobot leader"
[],The Unforseen,['0992817072'],Visit Amazon's Dorothy Macardle Page,"4,818,527 in Books (",['B000HQTL02'],Books,7.48,B000H40UEK,"{'Publisher:': 'Doubleday & Company, Inc.; First Edition edition (1946)', 'ASIN:': 'B000H40UEK', '\n    Package Dimensions: \n    ': '8.3 x 5.7 x 0.8 inches', 'Shipping Weight:': '14.4 ounces'}",Hard Cover
[],By Megory Anderson Sacred Dying: Creating Rituals for Embracing the End of Life (Rev Exp Su),[],,"3,434,842 in Books (",[],Books,23.51,B00N4EWZYI,"{'Publisher:': 'Da Capo Press (January 8, 2004)', 'ASIN:': 'B00N4EWZYI'}",New copy. Fast shipping. Will be shipped from US.
[],"U.S. Army in World War II: Special Studies, Chronology 1941-1945",[],Mary H. Williams,"1,591,446 in Books (",[],Books,21.27,B000BUGFFS,"{'Hardcover:': '660 pages', 'Publisher:': 'Office of the Chief of Military History Department of the Army; First Edition edition (1960)', 'Language:': 'English', 'ASIN:': 'B000BUGFFS', '\n    Package Dimensions: \n    ': '9.9 x 7.2 x 1.7 inches', 'Shipping Weight:': '2.9 pounds'}","Book Description: U. S. Gov't Printing Office Washington, D.C. 1960. First Edition. A chronology of World War 2 between 1941 and 1945."
"['Books', 'Biographies &amp; Memoirs', 'Leaders &amp; Notable People']",The Manley Memoirs,['9766101566'],Visit Amazon's Beverley Manley Page,"1,851,449 in Books (",[],Books,16.65,9766373132,"{'Paperback:': '304 pages', 'Publisher:': 'Ian Randle Publishers, Jamaica (May 26, 2008)', 'Language:': 'English', 'ISBN-10:': '9766373132', 'ISBN-13:': '978-9766373139', '\n    Product Dimensions: \n    ': '5.5 x 0.6 x 8.5 inches', 'Shipping Weight:': '12.8 ounces ('}","With grace, balance, and wonderful candour, Beverley Manley tells the story of her childhood, adolescence, and adulthood as the wife of Jamaicas charismatic leader in the 1970s, Michael Manley. The articulateness and intimacy of her recounting the years both before meeting Michael Manley and afterward, of their life together as leading figures in the Peoples National Party, are a compelling contribution to literature as well as government studies. Beverley Manley reports with the aplomb of a seasoned interviewer on television and radio. She speaks with an authoritative yet friendly voice and records the political and the personal as one who is committed to feminist issues. Manley tells of her struggle to escape the confinement of her relationship with an argumentative and domineering mother and of her success both before and after marriage with working in the media. She is a fine scholar and architect of womens rights in Jamaica, and she holds nothing back in touching on all the issues that were of such consequence in the era of cataclysmic change in Jamaican society under her husbands leadership. Beverley Manley speaks with a gentle and winning voice from her own commitment to a leftist positioning in politics. She need make no apology for this for it is after all her own memoirs that she is articulating with such clarity and force. Her accounting of her growing up as the stationmasters daughter is an interesting record of a time when girls still had to wear the Oblood cloth. She recounts the caring for (washing) and difficulty of this awkward garment and this candour previews the openness with which she will discuss her marriage in later chapters. Manley has a zest for life and a love of femininity that pervades the otherwise serious text of the rise of the PNP and its ultimate fall with the elections of 1980. In between those years is the story of the growth of a dream for a more equitable Jamaica than the one that existed at that time. Beverley Manley is able to articulate the growth of the structures of government with clarity and vision. She was after all a young black woman who was coming into her own as a scholar and First Lady. Her ability to recall and recount these turbulent years with vivid aplomb is a boon for the reader who is interested in reliving them  revisiting them through her point of view. Her early days as First Lady are summarised in the following statement: There was no doubt some in the party regarded me with a certain amount of suspicion. I collaborated with many members of parliament in their constituencies  and not only at election time. I was a hard and committed worker who was never interested in representative politics. People did not understand this. Manley worked as hard to establish herself within the family. She became a wife that was on good terms with Mardi and Pardi (Edna and Norman W Manley) as well as with Michaels children by his former marriages. She recalls that she showed her manuscript to Rachel at a difficult time in the writing and it was Rachels encouragement that helped her move through to completion. It would have been a great loss to social history and to feminist studies otherwise. Manleys memoirs are replete with information that encourages all women, especially in the island where machismo is still so dominant. Manley says: During another conversation with Fidel, as we talked about the workers struggle, he told me that, as difficult as it was, it would triumph long before the struggle for womens rights. I was upset at the time by his words, but have since come to understand how correct he was about the intransigence of the movement for equality between women and men. Throughout this fine text are such thoughts and asides that help to centre the narrative in wo --The Jamaica Observer,Beverly Manley is former Jamaican model, and popular media personality in Jamaica, hosting highly respected talk shows discussing issues of national, regional and international importance.,,"
[],Woman's Home Companion Household Book,[],Henry Humphrey,"2,394,565 in Books (",[],Books,6.99,B000J1HPW6,"{'Publisher:': 'P.F. Collier & Son (1950)', 'Language:': 'English', 'ASIN:': 'B000J1HPW6', '\n    Package Dimensions: \n    ': '8.5 x 6.1 x 1.8 inches', 'Shipping Weight:': '3.4 pounds'}","Copyright1948. pp.929. Edited by Henry Humphrey. This book tells of equipping a home, room arrangement and decoration and general upkeep of a home in the 1940's. Complete with illustrations."
"['Books', 'Science Fiction & Fantasy', 'Fantasy']",El Mago (Spanish Edition),[],Visit Amazon's J D Santibanez Page,"16,731,867 in Books (",[],Books,12.63,9978427643,"{'Paperback:': '350 pages', 'Publisher:': 'Jose Daniel Santibanez; 1 edition (November 10, 2013)', 'Language:': 'Spanish', 'ISBN-10:': '9789978427644', 'ISBN-13:': '978-9978427644', 'ASIN:': '9978427643', '\n    Product Dimensions: \n    ': '6 x 0.9 x 9 inches', 'Shipping Weight:': '1 pounds ('}","&quot;JD Santib&#225;&#241;ez es un excelente contador de historias [...] Tiene una envidiable imaginaci&#243;n que le permite construir universos narrativos sorprendentes. Y crea un personaje protagonista brillante, un antih&#233;roe irresistible. <i>El Mago</i> es una excelente muestra de la ausencia de linderos de la imaginaci&#243;n: en la novela se mezcla lo policial con una trama de acci&#243;n y con unos divertidos componentes que provienen de la m&#225;s s&#243;lida y fascinante tradici&#243;n de la literatura fant&#225;stica.&quot; --Santiago P&#225;ez, autor de <i>Los Archivos de Hilari&#243;n</i>,Escribir <i>El Mago</i> fue una grata experiencia. Siempre hab&#237;a estado intrigado por las series de televisi&#243;n y novelas que ten&#237;an que ver con lo sobrenatural, pero tambi&#233;n me gustaban las historias polic&#237;acas y de acci&#243;n. As&#237; nacen Garol Pereira, un sicario misterioso, y su madre, personajes que se desarrollan en el mundo de la fantas&#237;a y la violencia. <br><br>Creo que, aunque me gustan todas las historias que escribo, el personaje de <i>El Mago</i> tiene vida propia y siempre demandar&#225; nuevas historias.<br><br>Espero que disfruten de sus aventuras."
"['Books', 'Business & Money', 'Marketing & Sales']","Madison Avenue, USA","['190491537X', '0252066596']",Martin Mayer,"3,444,794 in Books (",['B0006AV15W'],Books,99.99,B00005WBQ8,"{'Paperback:': '337 pages', 'Publisher:': 'Cardinal # GC66 (May 1, 1959)', 'Language:': 'English', 'ASIN:': 'B00005WBQ8', '\n    Package Dimensions: \n    ': '6.4 x 4.1 x 0.7 inches', 'Shipping Weight:': '4 ounces'}","Madison Avenue, USA [Paperback]"
"['Books', 'Arts & Photography', 'Photography & Video']",Philip-Lorca diCorcia : Lucky 13,[],Philip-Lorca diCorcia,"9,900,025 in Books (",[],Books,48.0,B000KZ5UKK,"{'Paperback:': '4 pages', 'Publisher:': 'PaceWildenstein / Pace/Macgill Chelsea (2005)', 'Language:': 'English', 'ASIN:': 'B000KZ5UKK', 'Shipping Weight:': '1 pounds'}",Exhibition catalogue/gallery announcement for a show of Philip-Lorca diCorcia's nude pole dancers. Staple-bound with sparkly dark-blue cover with silver text; 4 pages; 4 full-page color plates; 8 x 11.75 inches.
[],"Six Sigma Audio Review Course All in One: Green Belt Six Sigma, Yellow Belt Six Sigma, Black Belt Six Sigma Comprehensive Review Course; 5 Hours, 5 Audio CDs Lean Six Sigma 5 Hours, 5 Audio CDs",[],Joseph Cervantes-SSMBB,"2,296,201 in Books (",['B005CJT2ZS'],Books,79.95,B005CJU75C,"{'Publisher:': 'ATS World Production Systems (2018)', 'ASIN:': 'B005CJU75C', '\n    Package Dimensions: \n    ': '5.9 x 5.4 x 1 inches', 'Shipping Weight:': '5.6 ounces ('}","Comprehensive 5 Hours, 5 Audio CDs Six Sigma All in One review course to learn and teach six sigma certification. Course starts with green belt teaching, proceeds into yellow belt and ends with black belt teachings. Fluff-free presentation covering only essential &quot;need to know&quot; information. No Filler. Complete Six Sigma certification should demonstrate team leadership, understand team dynamics and assign team member roles and responsibilities. Black Belts have a thorough understanding of all aspects of the DMAIC model in accordance with Six Sigma principles. Learn Fast and efficiently with 5 audio cds in one self contained, self paced learning system. Instructor is professional speaker, program recorded in studio. Study system Based only on the American Society for Quality certification requirements. Enterprise-wide Deployment; Organizational Process Management and Measures; Team Management; Define; Measure; Analyze; Improve; Control; Design for Six Sigma (DFSS) Frameworks and Methodologies Fluff-free presentation covering only essential &quot;need to know&quot; information to be tested. No Filler. 5 Hours, 5 Audio CDs, Plays in all cd players"
"['Books', 'Romance', 'Paranormal']",M&aacute;s muerto que nunca (Sookie Stackhouse) (Spanish Edition),"['1603968652', '8483651580', '8466317457', '8466326278', '8498003261', '8498004829', '8466322914', '8466319409', '8466327525']",Visit Amazon's Charlaine Harris Page,"5,479,873 in Books (",[],Books,17.4,8466317295,"{'Series:': 'Sookie Stackhouse (Book 5)', 'Paperback:': '272 pages', 'Publisher:': 'Punto de Lectura (October 1, 2012)', 'Language:': 'Spanish', 'ISBN-10:': '8466317295', 'ISBN-13:': '978-8466317290', '\n    Product Dimensions: \n    ': '5 x 1 x 7.5 inches', 'Shipping Weight:': '7 ounces ('}",Book by Charlaine Harris
[],"The History and Development of Small Arms Ammunition, Vol. 3: British Sporting Rifle Cartridges","['096049829X', '1440246424']",Visit Amazon's George A. Hoyem Page,"1,479,687 in Books (","['096049829X', '0960498281', '157747015X', '1577470338']",Books,150.0,B003CH5LD4,"{'Hardcover:': '220 pages', 'Publisher:': 'Armory Publications; 1St Edition edition (1991)', 'Language:': 'English', 'ISBN-10:': '0960498206', 'ISBN-13:': '978-0960498208', 'ASIN:': 'B003CH5LD4'}","Autographed book #406. Includes ""British Cartridge Boxes, Packets, Tropical Tins and Rifles a supplement to Volume Three booklet."
"['Books', 'Reference', 'Foreign Language Study &amp; Reference']",Conocimiento en Sus Manos (Spanish Edition),[],Editors of Reader's Digest,"4,711,059 in Books (",[],Books,12.99,9682803519,"{'Hardcover:': '628 pages', 'Publisher:': 'Readers Digest; Indexed edition (April 2004)', 'Language:': 'Spanish', 'ISBN-10:': '9682803519', 'ISBN-13:': '978-9682803512', '\n    Product Dimensions: \n    ': '9.3 x 1.3 x 11.3 inches', 'Shipping Weight:': '4.8 pounds ('}",","
[],Hal Leonard Piano Songs - 41 beautiful solo arrangements that you'll love to play!,[],Hal Leonard,"941,465 in Books (","['1476814767', '0634056816']",Books,16.99,B009KFQ73A,"{'Publisher:': 'Hal Leonard', 'ASIN:': 'B009KFQ73A', '\n    Product Dimensions: \n    ': '11.8 x 8.9 x 0.6 inches', 'Shipping Weight:': '1.2 pounds ('}",Piano Songs - 41 beautiful solo arrangements that you'll love to play! 41 beautiful solo arrangements that you'll love to play Includes: Autumn Leaves Chariots of Fire Clair de Lune Forrest Gump - Main Title Heart and Sould'I Dreamed a Dream I Will Linus and Lucy The Pink Panther Pure Imagination Send in the Clowns Skylark Stardust Two for the Road The Way You Look Tonight You Are So Beautiful and more
"['Books', 'Science &amp; Math', 'Biological Sciences']",The Complete Encyclopedia Of Chickens,"['1603425616', '1580176674', '1612126928', '161212013X', '0760352003', '0760352429', '1603424695', '1635650968', '1623360013']",Esther J.J. Verhoef-Verhallen,"1,013,440 in Books (","['1603425616', '1580176674', '1612126928', '1554074738', '0754833666', '1601383770', '1419729993', '184286212X', '0789213095', '1500689890', '1612129110', '1612129307', '0760352429', '1635650968', '1612124186', '161212013X']",Books,2.5,9036615925,"{'Hardcover:': '336 pages', 'Publisher:': 'Rebo Publishers; 13983rd edition (July 10, 2009)', 'Language:': 'English', 'ISBN-10:': '9036615925', 'ISBN-13:': '978-9036615921', '\n    Product Dimensions: \n    ': '6.8 x 1.2 x 9.5 inches', 'Shipping Weight:': '2.3 pounds ('}",",,,"
"['Books', 'Literature &amp; Fiction', 'Literary']",Cereus Blooms at Night (HarperPerennial) (Paperback) - Common,"['0375704639', '0375703977', '0872866351', '0618446885', '0142437271', '0807083674', '0954702336', '0307276767', '0446696161', '0374527075', '0375713875', '0452275695', '1616953497', '141657879X', '0811216713', '0802136338', '0807063150', '9381017972', '1934200573', '0802135226', '1609450663', '0871402106', '0743297334', '0312428596', '0582276020', '184022455X', '0415904633', '0060952563', '0060972459', '0374531870', '0345806565', '0547844190', '0393352560', '0385468865', '0192802291', '0374525102', '1890650919', '1400032660', '1941920403', '1885030169', '1616202416', '0486800296', '1573225312', '014009623X', '0307455912', '0994047134', '0812979656', '1250075270', '0393960129', '0765385252', '1626010897', '1558615180', '0684826801', '074329291X', '061871166X', '0892552352', '0295993537', '161775272X', '0988967316', '0809333252', '0140296409', '0374525625', '1590512812', '1597142018', '0679744479', '0199536171', '014013168X', '0674072340', '0802135161', '0802124941', '0375713344', '1631492942', '0374537380', '0452272599', '0385474547', '0375714669', '0345466101', '0415667860', '0345481518', '0385476337', '0679454896', '0472064681', '0618871713', '130290650X', '0141439823', '1870716221', '1933354216', '0895941228', '0231131631', '0156008297', '0822369184', '1401309534', '0807616230', '0415564115', '1566894867', '1559361352', '1555977359', '0679745203', '1845230027', '1594483299']",By (author) Shani Mootoo,[],"['0375704639', '0142437271', '0375703977', '0743297334', '1590517695', '0872866351', '0156008297', '0807063150', '014013168X', '0802136338', '0345806565', '1566892546', '0547844190', '161775272X', '0582642647', '147800035X', '1478000597', '0486298973', '0887848370', '161695700X', '0520261291', '1101974095', '1555976905', '1594484368', '0807029238', '184022455X', '1555977855', '0486800296', '0811216713', '0743477553', '0393352560', '0486278077', '0143430416', '0812983661', '0525509712', '0812979656', '1517901731', '1878448692', '1617755346', '0415904633', '0954702336', '0452274834', '0994047134', '0385476337', '0307455912', '1555838537', '037570714X', '1455528404', '1845230027', '1438454384', '0374527075', '141657879X', 'B00DIKW444', '1583226982', '0988967316', '130290650X', '0802135226']",Books,18.98,B001IN76VO,"{'Paperback:': '272 pages', 'Publisher:': 'HarperPerennial (1999)', 'ASIN:': 'B001IN76VO'}","?gypten - das Niltal von Kairo bis Abu Simbel,,"
[],Cookies - Over 600 Great Recipes,[],,"5,952,525 in Books (",[],Books,18.87,8860980755,"{'Paperback:': '424 pages', 'Publisher:': 'Zak Books (2008)', 'ISBN-10:': '8860980755', 'ISBN-13:': '978-8860980755', '\n    Package Dimensions: \n    ': '11.4 x 9.3 x 1.6 inches', 'Shipping Weight:': '4.5 pounds ('}","Cookies-Over 600 Great Recipes,,"
[],Out of Alaska's Kitchens,[],Alaska Crippled Children Association,"7,417,729 in Books (",[],Books,15.0,B000K6NEKC,"{'Publisher:': 'Alaska Crippled Children Association (1961)', 'ASIN:': 'B000K6NEKC'}","Upper back cover is slightly wavy, possibly due to being placed on a moist surface, otherwise, cover is clean with light edge wear. All pages are clean and unmarked. Ships fast from California.,,"
