,month,day,fuel,moisture,drought,initial_spread,temp,humidity,wind,rain,area_burned
67,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,0.0
68,mar,fri,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,0.0
69,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,0.0
70,sep,fri,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,0.0
71,mar,fri,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0
72,aug,tue,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,0.0
73,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
74,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
75,feb,fri,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,0.0
76,mar,mon,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,0.0
77,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
78,aug,tue,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,0.0
79,aug,sun,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,0.0
80,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
81,aug,tue,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,0.0
82,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0
83,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
84,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0
85,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
86,sep,thu,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,0.0
87,sep,sun,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,0.0
88,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
89,aug,sat,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
90,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0
91,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
92,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,0.0
93,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,0.0
94,sep,sun,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,0.0
95,feb,sat,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
96,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0
97,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,0.0
98,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
99,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,0.0
100,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,0.0
101,aug,tue,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0
102,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,0.0
103,jan,sat,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,0.0
104,mar,fri,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,0.0
105,mar,thu,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,0.0
106,aug,sun,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0
107,sep,sat,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,0.0
108,sep,mon,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,0.0
109,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
110,mar,fri,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,0.0
111,sep,sun,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0
112,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
113,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
114,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
115,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,0.0
116,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,0.0
117,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0
118,aug,thu,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,0.0
119,aug,mon,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,0.0
120,aug,mon,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0
121,sep,sun,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,0.0
122,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
123,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,0.0
124,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,0.0
125,mar,mon,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,0.0
126,sep,fri,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,0.0
127,oct,wed,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,0.0
128,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,0.0
129,feb,sat,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,0.0
130,mar,mon,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,0.0
131,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,0.0
132,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0
133,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,0.0
134,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
135,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
136,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,0.0
137,jul,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36
138,sep,tue,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
139,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
140,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
141,aug,fri,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
142,jul,sat,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71
143,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
144,aug,thu,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
145,mar,mon,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95
146,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
147,aug,tue,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07
148,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
149,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19
150,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36
151,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
152,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
153,sep,sat,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
154,aug,sun,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56
155,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
156,aug,wed,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
157,aug,wed,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
158,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
159,mar,mon,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75
160,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
161,mar,sat,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94
162,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
163,sep,sun,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
164,mar,thu,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
165,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
166,aug,wed,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
167,mar,fri,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53
168,aug,thu,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
169,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
170,aug,wed,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69
171,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74
172,sep,mon,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
173,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
174,aug,sat,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
175,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
176,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69
177,sep,wed,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
178,aug,tue,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
179,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
180,oct,mon,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
181,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
182,oct,mon,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
183,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
184,sep,tue,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
185,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
186,sep,mon,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
187,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
188,mar,sun,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
189,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31
190,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
191,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
192,sep,wed,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
193,aug,tue,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
194,aug,fri,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
195,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
196,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
197,sep,tue,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
198,sep,mon,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
199,sep,tue,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
200,mar,sun,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1
201,feb,sun,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05
202,oct,wed,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
203,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99
204,sep,thu,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
205,aug,sat,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
206,sep,tue,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
207,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
208,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
209,oct,sat,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
210,aug,sat,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
211,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
212,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35
213,mar,sat,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
214,mar,sat,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
215,sep,sun,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
216,sep,mon,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
217,sep,wed,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
218,mar,mon,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
219,aug,sun,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07
220,sep,fri,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
221,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
222,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
223,sep,wed,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71
224,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
225,oct,mon,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37
226,aug,sat,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
227,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
228,aug,sat,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
229,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
230,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
231,sep,tue,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
232,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
233,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88
234,aug,sun,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48
235,sep,sat,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
236,sep,tue,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
237,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
238,apr,sun,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0
239,apr,wed,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,0.0
240,apr,fri,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,0.0
241,aug,sun,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
242,aug,sun,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,0.0
243,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87
244,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
245,aug,sun,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09
246,aug,wed,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
247,aug,wed,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0
248,aug,wed,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
249,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
250,aug,wed,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
251,aug,wed,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
252,aug,thu,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
253,aug,thu,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
254,aug,thu,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0
255,aug,sat,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02
256,aug,sat,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
257,aug,sat,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0
258,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
259,aug,mon,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
260,aug,fri,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
261,aug,fri,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
262,aug,fri,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
263,aug,fri,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
264,aug,tue,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
265,aug,tue,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
266,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0
267,aug,tue,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,0.0
268,aug,tue,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
269,aug,tue,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
270,aug,tue,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
271,aug,tue,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
272,dec,sun,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
273,dec,wed,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
274,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
275,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
276,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73
277,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
278,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77
279,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
280,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
281,feb,sun,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,0.0
282,feb,wed,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
283,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
284,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
285,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0
286,jul,sat,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0
287,jul,sat,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
288,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
289,jul,sat,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
290,jul,sat,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0
291,jul,fri,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64
292,jul,tue,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
293,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57
294,jun,sun,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0
295,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9
296,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
297,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
298,jun,sat,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0
299,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
300,jun,mon,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52
301,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
302,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
303,may,sat,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,0.0
304,sep,sun,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0
305,sep,sun,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
306,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
307,sep,sun,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0
308,sep,sun,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,0.0
309,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
310,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
311,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,0.0
312,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0.0
313,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
314,sep,wed,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,0.0
315,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
316,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
317,sep,thu,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0
318,sep,thu,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41
319,sep,thu,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
320,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
321,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
322,sep,thu,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
323,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
324,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,0.0
325,sep,sat,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0.0
326,sep,sat,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,0.0
327,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0
328,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
329,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
330,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
